Source,Target,Weight
CAFxX,bhattnaval,1
bbot,vragnaroda,1
bbot,gmaxwell,1
bbot,jgarzik,1
bbot,bhattnaval,1
vragnaroda,gmaxwell,1
vragnaroda,jgarzik,1
vragnaroda,bhattnaval,1
gmaxwell,jgarzik,26
gmaxwell,bhattnaval,1
jgarzik,bhattnaval,1
laanwj,i-rme,2
jgarzik,MrSam,1
davout,mikegogulski,1
davout,zellfaze,1
davout,SomeoneWeird,1
davout,joric,1
davout,rebroad,1
mikegogulski,zellfaze,1
mikegogulski,SomeoneWeird,1
mikegogulski,joric,1
mikegogulski,rebroad,1
mikegogulski,jgarzik,1
zellfaze,SomeoneWeird,1
zellfaze,joric,1
zellfaze,rebroad,2
SomeoneWeird,joric,1
SomeoneWeird,rebroad,1
SomeoneWeird,jgarzik,1
joric,rebroad,1
joric,jgarzik,1
rebroad,jgarzik,12
007pig,alexwaters,1
carlosjhr64,alexwaters,1
jb55,MarcoFalke,8
ius,tcatm,1
teathsch,jgarzik,1
TheBlueMatt,zellfaze,1
TheBlueMatt,rebroad,10
rebroad,laanwj,64
ius,sipa,1
ius,Diapolo,1
gmaxwell,joric,1
freewil,Diapolo,1
freewil,sipa,2
freewil,jgarzik,1
codler,SomeoneWeird,1
codler,TheBlueMatt,1
codler,gavinandresen,1
SomeoneWeird,TheBlueMatt,1
SomeoneWeird,gavinandresen,1
wcoenen,gavinandresen,1
joric,alexwaters,1
ChanneledDan,ervwalter,1
ChanneledDan,Stemby,1
ChanneledDan,alexwaters,1
ervwalter,Stemby,1
ervwalter,alexwaters,1
Stemby,alexwaters,1
nanotube,laanwj,2
davispuh,laanwj,1
davispuh,ghost,1
davispuh,gmaxwell,1
ghost,gmaxwell,6
laanwj,luke-jr,198
vector76,sipa,1
vector76,JoelKatz,1
vector76,gavinandresen,1
JoelKatz,gavinandresen,1
Stemby,gavinandresen,1
gavinandresen,makomk,1
sipa,makomk,1
tcatm,embatbr,1
alexwaters,embatbr,1
TheBlueMatt,embatbr,1
d3dave,gavinandresen,1
d3dave,sipa,1
d3dave,jordanmack,1
gavinandresen,jordanmack,1
sipa,jordanmack,1
gavinandresen,burger2,2
gavinandresen,leofidus,2
laanwj,burger2,13
laanwj,leofidus,10
burger2,leofidus,1
gavinandresen,luke-jr,37
luke-jr,sipa,111
sipa,rebroad,51
rebroad,Diapolo,16
TheBlueMatt,roconnor,1
TheBlueMatt,JonasPertschy,1
roconnor,JonasPertschy,1
dooglus,luke-jr,6
TheBlueMatt,shamoons,2
TheBlueMatt,burger2,1
laanwj,shamoons,4
Diapolo,shamoons,3
Diapolo,burger2,5
shamoons,burger2,1
tcatm,laanwj,2
luke-jr,nanotube,1
laanwj,bitcoinuser,1
codler,laanwj,1
n074v41l4bl34u,laanwj,1
laanwj,iongchun,1
iongchun,TheBlueMatt,1
thiloplanz,laanwj,1
thiloplanz,TheBlueMatt,1
thiloplanz,jgarzik,1
eldentyrell,gavinandresen,1
eldentyrell,ThePiachu,1
eldentyrell,luke-jr,1
eldentyrell,paveljanik,1
eldentyrell,laanwj,1
eldentyrell,rickw,1
eldentyrell,fanquake,1
gavinandresen,ThePiachu,1
gavinandresen,paveljanik,5
gavinandresen,rickw,1
gavinandresen,fanquake,9
ThePiachu,luke-jr,1
ThePiachu,paveljanik,1
ThePiachu,laanwj,2
ThePiachu,rickw,1
ThePiachu,fanquake,1
luke-jr,paveljanik,9
luke-jr,rickw,1
luke-jr,fanquake,18
paveljanik,rickw,1
paveljanik,fanquake,9
laanwj,rickw,1
laanwj,fanquake,141
rickw,fanquake,1
laanwj,Plaidxx,1
ancow,TheBlueMatt,2
ancow,laanwj,2
ancow,dooglus,1
ancow,jgarzik,1
ancow,h0jeZvgoxFepBQ2C,1
TheBlueMatt,dooglus,2
TheBlueMatt,h0jeZvgoxFepBQ2C,4
laanwj,h0jeZvgoxFepBQ2C,5
dooglus,h0jeZvgoxFepBQ2C,1
jgarzik,h0jeZvgoxFepBQ2C,2
gavinandresen,Vort,1
TheBlueMatt,MeniRosenfeld,1
Diapolo,MeniRosenfeld,1
runeksvendsen,TheBlueMatt,1
runeksvendsen,jgarzik,1
luke-jr,TheBlueMatt,22
luke-jr,ByteCoin,1
luke-jr,genjix,1
TheBlueMatt,ByteCoin,1
TheBlueMatt,genjix,1
laanwj,ByteCoin,1
laanwj,genjix,2
gavinandresen,ByteCoin,1
gavinandresen,genjix,1
ByteCoin,genjix,1
sipa,grue0,2
sipa,NvrBst,1
sipa,huiju,1
grue0,Diapolo,2
grue0,NvrBst,1
grue0,laanwj,7
grue0,huiju,1
Diapolo,NvrBst,1
Diapolo,huiju,1
NvrBst,laanwj,1
NvrBst,huiju,1
laanwj,huiju,1
luke-jr,tcatm,1
ashleyholman,sipa,3
ashleyholman,petertodd,1
ashleyholman,laanwj,3
sipa,petertodd,12
petertodd,laanwj,7
gavinandresen,Diapolo,54
dikidera,laanwj,1
dikidera,grue0,1
dikidera,sipa,1
grue0,gavinandresen,2
TheBlueMatt,grue0,1
leokury,TheBlueMatt,1
leokury,laanwj,1
leokury,paveljanik,1
leokury,MarcoFalke,1
TheBlueMatt,paveljanik,7
TheBlueMatt,MarcoFalke,72
laanwj,MarcoFalke,343
paveljanik,MarcoFalke,28
gmaxwell,p2paul,1
gmaxwell,cryo,1
gmaxwell,Diapolo,47
gmaxwell,rkfg,2
gmaxwell,PAStheLoD,1
p2paul,cryo,1
p2paul,Diapolo,1
p2paul,sipa,1
p2paul,rkfg,1
p2paul,PAStheLoD,1
p2paul,laanwj,1
cryo,Diapolo,1
cryo,sipa,1
cryo,rkfg,1
cryo,PAStheLoD,1
cryo,laanwj,1
Diapolo,rkfg,1
Diapolo,PAStheLoD,1
sipa,rkfg,2
sipa,PAStheLoD,1
rkfg,PAStheLoD,1
rkfg,laanwj,3
PAStheLoD,laanwj,1
gmaxwell,jojkaart,1
jojkaart,jgarzik,1
luke-jr,jgarzik,32
luke-jr,rebroad,18
dooglus,rebroad,2
krishKM,TheBlueMatt,1
krishKM,Diapolo,2
gavinandresen,ancow,1
gavinandresen,meonkeys,1
gavinandresen,PanderMusubi,1
TheBlueMatt,meonkeys,1
TheBlueMatt,PanderMusubi,1
ancow,Diapolo,1
ancow,meonkeys,1
ancow,PanderMusubi,1
Diapolo,meonkeys,1
Diapolo,PanderMusubi,1
meonkeys,PanderMusubi,1
meonkeys,laanwj,1
PanderMusubi,laanwj,1
laanwj,slothbag,2
slothbag,sipa,1
TheBlueMatt,slothbag,1
luke-jr,Diapolo,38
laanwj,captainknz,1
laanwj,forrestv,1
laanwj,jordanmack,1
captainknz,forrestv,1
captainknz,TheBlueMatt,1
captainknz,jordanmack,1
forrestv,TheBlueMatt,1
forrestv,jordanmack,1
TheBlueMatt,jordanmack,1
krishKM,laanwj,1
krishKM,gavinandresen,1
laanwj,mckaydavis,1
laanwj,r000n,1
laanwj,cozz,17
sipa,mckaydavis,1
sipa,r000n,1
sipa,cozz,6
mckaydavis,r000n,1
mckaydavis,cozz,1
r000n,cozz,1
laanwj,sje397,1
sje397,sipa,1
TheBlueMatt,p2k,1
